"Symbol","Security","New 52W/H price","Prev. High","Prev. High Date","LTP","Prev. Close","chng","%chng"
"AARTISURF","Aarti Surfactants Limited",713.05,679.1,"10-Nov-2020",713.05,"679.1",33.95,4.999263731409218
"AMARAJABAT","Amara Raja Batteries Limited",837.7,836,"10-Nov-2020",822.45,"832.5",-10.05,-1.2072072072072073
"APOLLOPIPE","Apollo Pipes Limited",640,624.9,"10-Nov-2020",626.1,"616.85",9.25,1.499554186593175
"AXISBNKETF","Axis Mutual Fund - Axis Banking ETF",327.7,285,"10-Nov-2020",287,"282.24",12.27,4.466203181305281
"BAFNAPH","Bafna Pharmaceuticals Limited",170.35,162.25,"10-Nov-2020",170.35,"162.25",8.1,4.992295839753467
"BALKRISIND","Balkrishna Industries Limited",1574.75,1514.7,"30-Sep-2020",1507.8,"1475",32.8,2.223728813559322
"BIGBLOC","Bigbloc Construction Limited",85.7,81.7,"10-Nov-2020",85.7,"81.65",4.05,4.960195958358849
"BIOFILCHEM","Biofil Chemicals & Pharmaceuticals Limited",134.75,128.35,"10-Nov-2020",121.95,"128.35",-6.4,-4.9863654070899885
"BSLNIFTY","Aditya Birla Sun Life Nifty ETF - Growth",140.36,138.49,"10-Nov-2020",139.35,"138.43",0.92,0.6645958246044933
"CGPOWER","CG Power and Industrial Solutions Limited",33.25,32.85,"09-Nov-2020",33.25,"31.7",1.55,4.889589905362776
"ESCORTS","Escorts Limited",1373.35,1367,"10-Nov-2020",1367.5,"1335.55",31.95,2.392272846392872
"GATI","GATI Limited",74.25,71.9,"28-Jan-2020",69.5,"61.9",7.6,12.277867528271406
"HBANKETF","HDFC Mutual Fund - HDFC Banking ETF",287.95,286,"10-Nov-2020",285.43,"283.65",1.78,0.6275339326634938
"HBLPOWER","HBL Power Systems Limited",23.35,22.4,"09-Nov-2020",22.75,"20.25",2.5,12.345679012345679
"HDFCBANK","HDFC Bank Limited",1414.8,1395,"10-Nov-2020",1388,"1393.65",-5.65,-0.4054102536504861
"HIL","HIL Limited",1975,1879,"27-Aug-2020",1915.25,"1813.3",101.95,5.622345999007335
"ICICINIFTY","ICICI Prudential Nifty ETF",153.9,151.8,"10-Nov-2020",134.9,"133.85",1.05,0.7844602166604407
"JSWHL","JSW Holdings Limited",2885,2849,"24-Feb-2020",2850,"2695.7",154.3,5.723930704455244
"JSWSTEEL","JSW Steel Limited",344.75,337.65,"10-Nov-2020",344.5,"334.8",9.7,2.8972520908004777
"KERNEX","Kernex Microsystems (India) Limited",25.55,24.35,"10-Nov-2020",25.55,"24.35",1.2,4.9281314168377826
"KEYFINSERV","Keynote Financial Services Limited",62.55,56.9,"10-Nov-2020",62.55,"56.9",5.65,9.92970123022847
"KOTAKBANK","Kotak Mahindra Bank Limited",1818.45,1794.45,"10-Nov-2020",1804.65,"1752.95",51.7,2.949314013520066
"KPRMILL","K.P.R. Mill Limited",789,788,"09-Nov-2020",787,"776.55",10.45,1.3456957053634666
"KRISHANA","Krishana Phoschem Limited",77.95,75.4,"10-Nov-2020",75,"75",0,0
"M50","Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M50 ETF",125.67,124.42,"10-Nov-2020",124.95,"123.9",1.05,0.847457627118644
"MAN50ETF","Mirae Asset Mutual Fund - Mirae Asset Nifty 50 ETF",130.2,130,"20-Jan-2020",130.2,"128.8",1.4,1.0869565217391304
"NIFTYBEES","NIPPON INDIA ETF NIFTY BEES",154.9,146.2,"26-Oct-2020",135.99,"134.72",1.27,0.9426959619952494
"NIFTYEES","Edelweiss ETF - Nifty 50",16150,16015.83,"21-Jan-2020",15999.99,"15305",694.99,4.540934335184581
"ORCHPHARMA","Orchid Pharma Limited",23.9,22.8,"10-Nov-2020",23.9,"22.8",1.1,4.824561403508772
"PGEL","PG Electroplast Limited",126.05,120.75,"10-Nov-2020",126.05,"120.05",6,4.997917534360683
"PRSMJOHNSN","Prism Johnson Limited",78,77.8,"03-Nov-2020",77,"76.1",0.9,1.1826544021024967
"SALASAR","Salasar Techno Engineering Limited",222,217,"10-Nov-2020",221.7,"216.1",5.6,2.5913928736695975
"SAREGAMA","Saregama India Limited",751,738.05,"04-Nov-2020",746,"701.25",44.75,6.381461675579323
"SBIETFPB","SBI Mutual Fund - SBI ETF Private Bank - SBI ETF Private Bank",163.99,161.99,"10-Nov-2020",161.35,"161.99",-0.64,-0.3950861164269399
"ULTRACEMCO","UltraTech Cement Limited",4855.95,4785,"10-Nov-2020",4849.9,"4719.55",130.35,2.761915860622305
"UTIBANKETF","UTI Mutual Fund - UTI Bank Exchange Traded Fund",290.29,287.88,"10-Nov-2020",287.82,"286.34",1.48,0.5168680589508975
"ZYDUSWELL","Zydus Wellness Limited",2039,1950,"21-Sep-2020",1775,"1720.45",54.55,3.1706820889883462
