"Symbol","Security","New 52W/H price","Prev. High","Prev. High Date","LTP","Prev. Close","chng","%chng"
"8KMILES","8K Miles Software Services Limited",92.95,88.55,"14-Oct-2020",92.95,"88.55",4.4,4.968944099378882
"AKASH","Akash Infra-Projects Limited",255,255,"14-Oct-2020",252,"250.6",1.4,0.5586592178770949
"ALPA","Alpa Laboratories Limited",43.6,42.8,"12-Oct-2020",43.6,"39.65",3.95,9.96216897856242
"AMBUJACEM","Ambuja Cements Limited",250,249.35,"13-Oct-2020",241.85,"246.6",-4.75,-1.9261962692619627
"ASIANPAINT","Asian Paints Limited",2124,2118.8,"07-Oct-2020",2079.9,"2071.35",8.55,0.4127742776450141
"BAFNAPH","Bafna Pharmaceuticals Limited",67.65,64.45,"14-Oct-2020",67.65,"64.45",3.2,4.965089216446858
"BERGEPAINT","Berger Paints (I) Limited",618.5,617.4,"08-Oct-2020",595.4,"605.85",-10.45,-1.7248493851613436
"BSLNIFTY","Aditya Birla Sun Life Nifty ETF - Growth",138,138,"01-Feb-2020",128.1,"131.08",-2.98,-2.273420811718035
"CYBERTECH","Cybertech Systems And Software Limited",99.95,98.45,"14-Oct-2020",94.5,"93.15",1.35,1.4492753623188406
"EQ30","Edelweiss ETF - Nifty 100 Quality 30",360,355,"14-Oct-2020",347.49,"348",-0.51,-0.14655172413793102
"HEROMOTOCO","Hero MotoCorp Limited",3379.55,3355.55,"12-Oct-2020",3299,"3310.8",-11.8,-0.35640932705086387
"ICEMAKE","Ice Make Refrigeration Limited",67.1,63.95,"14-Oct-2020",66,"63.95",2.05,3.205629397967162
"ICIL","Indo Count Industries Limited",135.5,127.35,"14-Oct-2020",128,"125",3,2.4
"IDFNIFTYET","IDFC Mutual Fund - IDFC Nifty ETF",137.32,133,"01-Feb-2020",117.11,"121.43",-4.32,-3.557605204644651
"INFY","Infosys Limited",1186,1166.05,"13-Oct-2020",1113.25,"1137",-23.75,-2.088830255057168
"JKCEMENT","JK Cement Limited",1750,1739.05,"14-Oct-2020",1715,"1730.95",-15.95,-0.9214593142494006
"KOPRAN","Kopran Limited",108.05,102.95,"14-Oct-2020",102.5,"102.95",-0.45,-0.4371053909664886
"LAXMIMACH","Lakshmi Machine Works Limited",4085,3980,"30-Oct-2019",3852,"3915.1",-63.1,-1.611708513192511
"LIKHITHA","Likhitha Infrastructure Limited",136.5,0,"-",136.5,"120",6.5,5
"NETF","Tata Nifty Exchange Traded Fund",142,141.47,"14-Oct-2020",142,"136.07",5.93,4.3580510031601385
"OFSS","Oracle Financial Services Software Limited",3301,3240,"01-Nov-2019",3165,"3145.95",19.05,0.6055404567777619
"OPTIEMUS","Optiemus Infracom Limited",81.2,79.2,"12-Oct-2020",81.2,"77.35",3.85,4.97737556561086
"PERSISTENT","Persistent Systems Limited",1390.6,1390,"14-Oct-2020",1284.7,"1369.1",-84.4,-6.164633700971441
"SBICARD","SBI Cards and Payment Services Limited",918.75,895.5,"14-Oct-2020",890.7,"892.15",-1.45,-0.16252872274841676
"SOUTHWEST","South West Pinnacle Exploration Limited",31,31,"14-Oct-2020",30.5,"30.8",-0.3,-0.974025974025974
"TATAELXSI","Tata Elxsi Limited",1534.95,1506.7,"14-Oct-2020",1468,"1459.15",8.85,0.6065174930610286
"VISHAL","Vishal Fabrics Limited",360.3,357.55,"14-Oct-2020",360.3,"357.2",3.1,0.8678611422172452
